ID_Number,ID,Site_Name,Special,Longitiude_E,Latitude_N,Altitude_MASL,Era,Culture,Date_Start,Date_End,NonGrave_Structure,Grave_Type,Number_Chullpa,Number_Cave,Number_Subterranean,Number_Platform,Burials_NUM,Burials,Ceramic_NUM,Ceramic,Ceramic_Type,Ceramic_Type_Num,Metal_Num,Metal,MNI,Adult_Male,Adult_Female,Adule_Indeterminate,Total_Adult,Total_Subadult,Total_Infant
36,Ibarra_6,66,Guiesgipitac,265190,8962590,3210,Int Tardio,Post_Recuay,1000,1470,Wall,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
37,Ibarra_7,68,Charac,270310,8971160,4320,Int Tardio,Post_Recuay,1000,1470,Corral,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
38,Ibarra_8,69,Illauro,268750,8970450,3980,Int Tardio,Post_Recuay,1000,1470,Corral,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
39,Ibarra_9,70,Ñawpamarca de Huari,259130,8971530,4286,Int Tardio,Post_Recuay,1000,1470,Wall,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
40,Ibarra_10,71,Pinkush 2,258460,8973720,4190,Int Tardio,Post_Recuay,1000,1470,Wall,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
41,Ibarra_11,72,Pinkush 3,258470,8974420,4320,Int Tardio,Post_Recuay,1000,1470,Wall,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
42,Ibarra_12,73,Pinkush 4,258460,8975690,4410,Int Tardio,Post_Recuay,1000,1470,Wall or Corral,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
43,Ibarra_13,74,Pinkush de Huamparan,260287,8977198,3710,Int Tardio,Post_Recuay,1000,1470,Village,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
44,Ibarra_14,75,Yamllipitec,262120,8969830,3120,HT/IT,Recuay,-200,700,Mound,NONE,,,,,0,No,1,Yes,<NULL>,1,0,No,,,,,,,
45,Ibarra_15,76,Cashapallan,261600,8967940,3190,HT/IT,Recuay,-200,700,Mound,NONE,,,,,0,No,1,Yes,<NULL>,1,0,No,,,,,,,
46,Ibarra_16,77,Ñawpamarca de Acopalca,256020,8969400,3690,HT/IT,Recuay,-200,700,Wall,NONE,,,,,0,No,0,No,NONE,0,0,No,,,,,,,
