ID_Number,ID,Site_Name,Special Site Name,Longitiude_E,Latitude_N,Altitude_MASL,Era,Culture,ID_Number,Date_Start,Date_End,NonGrave_Structure,Grave_Type,Number_Chullpa,Number_Cave,Number_Subterranean,ID_Number,Number_Platform,Burials_NUM,Burials,Ceramic_NUM,Ceramic,Ceramic_Type,Ceramic_Type_Num,Metal_Num,Metal,ID_Number,MNI,Adult_Male,Adult_Female,Adule_Indeterminate,Total_Adult,Total_Subadult,Total_Infant
37,Ibarra_21,106,Reparin,263680,8971140,3590,HT/IT,Recuay,37,-200,700,Mound,NONE,0,0,0,37,0,0,No,1,Yes,<NULL>,1,0,No,37,0,0,0,0,0,0,0
38,Ibarra_22,107,Pirushto,262741,8971112,3351,HT/IT,Recuay,38,-200,700,Mound,NONE,0,0,0,38,0,0,No,1,Yes,<NULL>,1,0,No,38,0,0,0,0,0,0,0
39,Ibarra_23,108,Ushnujirca,261330,8977650,3781,IT,Recuay,39,0,700,Wall,Subteranean,0,0,18,39,0,1,Yes,1,Yes,<NULL>,1,0,No,39,0,0,0,0,0,0,0
40,Ibarra_24,109,Huamparan,261463,8976604,3681,IT,Recuay,40,0,700,Corral,NONE,0,0,0,40,0,0,No,0,No,NONE,0,0,No,40,0,0,0,0,0,0,0
41,Ibarra_25,110,Ogupampa,261726,8975015,3540,IT,Recuay,41,0,700,Mound,Mound,0,0,0,41,0,1,Yes,0,No,NONE,0,0,No,41,10,0,0,0,0,0,0
42,Ibarra_26,111,Chuncayajirca 2,261560,8975450,3574,HT/IT,Recuay,42,-200,700,Platform,NONE,0,0,0,42,0,0,No,1,Yes,<NULL>,1,0,No,42,0,0,0,0,0,0,0
43,Ibarra_27,112,Chuncayajirca 1,260985,8978674,3381,HT/IT,Recuay,43,-200,700,Platform,NONE,0,0,0,43,0,0,No,1,Yes,<NULL>,1,0,No,43,0,0,0,0,0,0,0
44,Ibarra_28,113,Llamacorral,257905,8969959,3532,HT/IT,Recuay,44,-200,700,Walls,NONE,0,0,0,44,0,0,No,0,No,NONE,0,0,No,44,0,0,0,0,0,0,0
45,Ibarra_29,114,Ishla Ranra,257905,8969959,3532,HT/IT,Recuay,45,-200,700,Residential,Tombas,5,0,0,45,0,1,Yes,1,Yes,<NULL>,1,0,No,45,5,0,0,0,0,0,0
46,Ibarra_30,115,Buenos Aires,261763,8964612,3354,IT,Recuay,46,0,700,Platform,NONE,0,0,0,46,0,0,No,1,Yes,<NULL>,1,0,No,46,0,0,0,0,0,0,0
47,Ibarra_31,116,Ushcugaga,264414,8969995,3653,HT,Pre_Recuay,47,-1200,0,Corral,Tombas,0,0,0,47,0,1,Yes,1,Yes,<NULL>,1,0,No,47,0,0,0,0,0,0,0
48,Ibarra_32,117,Pirushto de Cajay 2,264167,8969730,3615,HT/IT,Recuay,48,-200,700,Platform & Huanca,NONE,0,0,0,48,0,0,No,1,Yes,<NULL>,1,0,No,48,0,0,0,0,0,0,0
49,Ibarra_33,118,Ushnu de Cajay,262596,8977609,3575,HT/IT,Recuay,49,600,1200,Residential,Chullpa & Subterranean,3,0,0,49,0,1,Yes,1,Yes,<NULL>,1,0,No,49,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
